,label,img_path,bord,phyllotaxie,type_feuille,ligneux
46,castanea,dataset_processed_v3/Train/castanea/05.jpg,dente,alterne,simple,oui
47,castanea,dataset_processed_v3/Train/castanea/62.jpg,dente,alterne,simple,oui
48,castanea,dataset_processed_v3/Train/castanea/133.jpg,dente,alterne,simple,oui
49,castanea,dataset_processed_v3/Train/castanea/52.jpg,dente,alterne,simple,oui
50,castanea,dataset_processed_v3/Train/castanea/175.jpg,dente,alterne,simple,oui
51,castanea,dataset_processed_v3/Train/castanea/104.jpg,dente,alterne,simple,oui
52,castanea,dataset_processed_v3/Train/castanea/83.jpg,dente,alterne,simple,oui
53,castanea,dataset_processed_v3/Train/castanea/33.jpg,dente,alterne,simple,oui
54,castanea,dataset_processed_v3/Train/castanea/castarea088.jpg,dente,alterne,simple,oui
55,castanea,dataset_processed_v3/Train/castanea/194.jpg,dente,alterne,simple,oui
56,castanea,dataset_processed_v3/Train/castanea/171.jpg,dente,alterne,simple,oui
57,castanea,dataset_processed_v3/Train/castanea/63.jpg,dente,alterne,simple,oui
58,castanea,dataset_processed_v3/Train/castanea/113.jpg,dente,alterne,simple,oui
59,castanea,dataset_processed_v3/Train/castanea/00.jpg,dente,alterne,simple,oui
60,castanea,dataset_processed_v3/Train/castanea/30.jpg,dente,alterne,simple,oui
61,castanea,dataset_processed_v3/Train/castanea/castarea084.jpg,dente,alterne,simple,oui
62,castanea,dataset_processed_v3/Train/castanea/21.jpg,dente,alterne,simple,oui
63,castanea,dataset_processed_v3/Train/castanea/121.jpg,dente,alterne,simple,oui
64,castanea,dataset_processed_v3/Train/castanea/101.jpg,dente,alterne,simple,oui
65,castanea,dataset_processed_v3/Train/castanea/92.jpg,dente,alterne,simple,oui
66,castanea,dataset_processed_v3/Train/castanea/110.jpg,dente,alterne,simple,oui
67,castanea,dataset_processed_v3/Train/castanea/184.jpg,dente,alterne,simple,oui
68,castanea,dataset_processed_v3/Train/castanea/castarea092.jpg,dente,alterne,simple,oui
69,castanea,dataset_processed_v3/Train/castanea/53.jpg,dente,alterne,simple,oui
70,castanea,dataset_processed_v3/Train/castanea/100.jpg,dente,alterne,simple,oui
71,castanea,dataset_processed_v3/Train/castanea/25.jpg,dente,alterne,simple,oui
72,castanea,dataset_processed_v3/Train/castanea/45.jpg,dente,alterne,simple,oui
73,castanea,dataset_processed_v3/Train/castanea/castarea095.jpg,dente,alterne,simple,oui
74,castanea,dataset_processed_v3/Train/castanea/181.jpg,dente,alterne,simple,oui
75,castanea,dataset_processed_v3/Train/castanea/castarea094.jpg,dente,alterne,simple,oui
76,castanea,dataset_processed_v3/Train/castanea/castarea098.jpg,dente,alterne,simple,oui
77,castanea,dataset_processed_v3/Train/castanea/55.jpg,dente,alterne,simple,oui
78,castanea,dataset_processed_v3/Train/castanea/114.jpg,dente,alterne,simple,oui
79,castanea,dataset_processed_v3/Train/castanea/70.jpg,dente,alterne,simple,oui
80,castanea,dataset_processed_v3/Train/castanea/34.jpg,dente,alterne,simple,oui
81,castanea,dataset_processed_v3/Train/castanea/161.jpg,dente,alterne,simple,oui
82,castanea,dataset_processed_v3/Train/castanea/23.jpg,dente,alterne,simple,oui
83,castanea,dataset_processed_v3/Train/castanea/170.jpg,dente,alterne,simple,oui
84,castanea,dataset_processed_v3/Train/castanea/12.jpg,dente,alterne,simple,oui
85,castanea,dataset_processed_v3/Train/castanea/150.jpg,dente,alterne,simple,oui
86,castanea,dataset_processed_v3/Train/castanea/50.jpg,dente,alterne,simple,oui
87,castanea,dataset_processed_v3/Train/castanea/143.jpg,dente,alterne,simple,oui
88,castanea,dataset_processed_v3/Train/castanea/163.jpg,dente,alterne,simple,oui
89,castanea,dataset_processed_v3/Train/castanea/castarea081.jpg,dente,alterne,simple,oui
90,castanea,dataset_processed_v3/Train/castanea/85.jpg,dente,alterne,simple,oui
91,castanea,dataset_processed_v3/Train/castanea/144.jpg,dente,alterne,simple,oui
92,castanea,dataset_processed_v3/Train/castanea/154.jpg,dente,alterne,simple,oui
93,castanea,dataset_processed_v3/Train/castanea/02.jpg,dente,alterne,simple,oui
94,castanea,dataset_processed_v3/Train/castanea/172.jpg,dente,alterne,simple,oui
95,castanea,dataset_processed_v3/Train/castanea/94.jpg,dente,alterne,simple,oui
96,castanea,dataset_processed_v3/Train/castanea/43.jpg,dente,alterne,simple,oui
97,castanea,dataset_processed_v3/Train/castanea/61.jpg,dente,alterne,simple,oui
98,castanea,dataset_processed_v3/Train/castanea/72.jpg,dente,alterne,simple,oui
99,castanea,dataset_processed_v3/Train/castanea/castarea089.jpg,dente,alterne,simple,oui
100,castanea,dataset_processed_v3/Train/castanea/castarea097.jpg,dente,alterne,simple,oui
101,castanea,dataset_processed_v3/Train/castanea/81.jpg,dente,alterne,simple,oui
102,castanea,dataset_processed_v3/Train/castanea/160.jpg,dente,alterne,simple,oui
103,castanea,dataset_processed_v3/Train/castanea/13.jpg,dente,alterne,simple,oui
104,castanea,dataset_processed_v3/Train/castanea/60.jpg,dente,alterne,simple,oui
105,castanea,dataset_processed_v3/Train/castanea/35.jpg,dente,alterne,simple,oui
106,castanea,dataset_processed_v3/Train/castanea/115.jpg,dente,alterne,simple,oui
107,castanea,dataset_processed_v3/Train/castanea/174.jpg,dente,alterne,simple,oui
108,castanea,dataset_processed_v3/Train/castanea/03.jpg,dente,alterne,simple,oui
109,castanea,dataset_processed_v3/Train/castanea/180.jpg,dente,alterne,simple,oui
110,castanea,dataset_processed_v3/Train/castanea/10.jpg,dente,alterne,simple,oui
111,castanea,dataset_processed_v3/Train/castanea/22.jpg,dente,alterne,simple,oui
112,castanea,dataset_processed_v3/Train/castanea/castarea087.jpg,dente,alterne,simple,oui
113,castanea,dataset_processed_v3/Train/castanea/124.jpg,dente,alterne,simple,oui
114,castanea,dataset_processed_v3/Train/castanea/182.jpg,dente,alterne,simple,oui
115,castanea,dataset_processed_v3/Train/castanea/44.jpg,dente,alterne,simple,oui
116,castanea,dataset_processed_v3/Train/castanea/123.jpg,dente,alterne,simple,oui
117,castanea,dataset_processed_v3/Train/castanea/65.jpg,dente,alterne,simple,oui
118,castanea,dataset_processed_v3/Train/castanea/castarea093.jpg,dente,alterne,simple,oui
119,castanea,dataset_processed_v3/Train/castanea/193.jpg,dente,alterne,simple,oui
120,castanea,dataset_processed_v3/Train/castanea/84.jpg,dente,alterne,simple,oui
121,castanea,dataset_processed_v3/Train/castanea/140.jpg,dente,alterne,simple,oui
122,castanea,dataset_processed_v3/Train/castanea/14.jpg,dente,alterne,simple,oui
123,castanea,dataset_processed_v3/Train/castanea/castarea090.jpg,dente,alterne,simple,oui
124,castanea,dataset_processed_v3/Train/castanea/125.jpg,dente,alterne,simple,oui
125,castanea,dataset_processed_v3/Train/castanea/112.jpg,dente,alterne,simple,oui
126,castanea,dataset_processed_v3/Train/castanea/141.jpg,dente,alterne,simple,oui
127,castanea,dataset_processed_v3/Train/castanea/131.jpg,dente,alterne,simple,oui
128,castanea,dataset_processed_v3/Train/castanea/145.jpg,dente,alterne,simple,oui
129,castanea,dataset_processed_v3/Train/castanea/103.jpg,dente,alterne,simple,oui
130,castanea,dataset_processed_v3/Train/castanea/54.jpg,dente,alterne,simple,oui
131,castanea,dataset_processed_v3/Train/castanea/castarea083.jpg,dente,alterne,simple,oui
132,castanea,dataset_processed_v3/Train/castanea/165.jpg,dente,alterne,simple,oui
133,castanea,dataset_processed_v3/Train/castanea/132.jpg,dente,alterne,simple,oui
134,castanea,dataset_processed_v3/Train/castanea/120.jpg,dente,alterne,simple,oui
135,castanea,dataset_processed_v3/Train/castanea/75.jpg,dente,alterne,simple,oui
136,castanea,dataset_processed_v3/Train/castanea/192.jpg,dente,alterne,simple,oui
137,castanea,dataset_processed_v3/Train/castanea/153.jpg,dente,alterne,simple,oui
138,castanea,dataset_processed_v3/Train/castanea/162.jpg,dente,alterne,simple,oui
139,castanea,dataset_processed_v3/Train/castanea/01.jpg,dente,alterne,simple,oui
140,convolvulaceae,dataset_processed_v3/Train/convolvulaceae/191.jpg,lisse,alterne,simple,non
141,convolvulaceae,dataset_processed_v3/Train/convolvulaceae/42.jpg,lisse,alterne,simple,non
142,convolvulaceae,dataset_processed_v3/Train/convolvulaceae/40.jpg,lisse,alterne,simple,non
143,convolvulaceae,dataset_processed_v3/Train/convolvulaceae/190.jpg,lisse,alterne,simple,non
144,convolvulaceae,dataset_processed_v3/Train/convolvulaceae/91.jpg,lisse,alterne,simple,non
145,convolvulaceae,dataset_processed_v3/Train/convolvulaceae/173.jpg,lisse,alterne,simple,non
146,convolvulaceae,dataset_processed_v3/Train/convolvulaceae/convolvulaceae097.jpg,lisse,alterne,simple,non
147,convolvulaceae,dataset_processed_v3/Train/convolvulaceae/90.jpg,lisse,alterne,simple,non
148,convolvulaceae,dataset_processed_v3/Train/convolvulaceae/134.jpg,lisse,alterne,simple,non
149,convolvulaceae,dataset_processed_v3/Train/convolvulaceae/155.jpg,lisse,alterne,simple,non
150,convolvulaceae,dataset_processed_v3/Train/convolvulaceae/11.jpg,lisse,alterne,simple,non
151,convolvulaceae,dataset_processed_v3/Train/convolvulaceae/185.jpg,lisse,alterne,simple,non
152,convolvulaceae,dataset_processed_v3/Train/convolvulaceae/15.jpg,lisse,alterne,simple,non
153,convolvulaceae,dataset_processed_v3/Train/convolvulaceae/31.jpg,lisse,alterne,simple,non
154,convolvulaceae,dataset_processed_v3/Train/convolvulaceae/71.jpg,lisse,alterne,simple,non
155,convolvulaceae,dataset_processed_v3/Train/convolvulaceae/51.jpg,lisse,alterne,simple,non
156,convolvulaceae,dataset_processed_v3/Train/convolvulaceae/24.jpg,lisse,alterne,simple,non
157,convolvulaceae,dataset_processed_v3/Train/convolvulaceae/151.jpg,lisse,alterne,simple,non
158,convolvulaceae,dataset_processed_v3/Train/convolvulaceae/111.jpg,lisse,alterne,simple,non
159,convolvulaceae,dataset_processed_v3/Train/convolvulaceae/152.jpg,lisse,alterne,simple,non
160,convolvulaceae,dataset_processed_v3/Train/convolvulaceae/95.jpg,lisse,alterne,simple,non
161,convolvulaceae,dataset_processed_v3/Train/convolvulaceae/32.jpg,lisse,alterne,simple,non
162,convolvulaceae,dataset_processed_v3/Train/convolvulaceae/convolvulaceae082.jpg,lisse,alterne,simple,non
163,convolvulaceae,dataset_processed_v3/Train/convolvulaceae/183.jpg,lisse,alterne,simple,non
164,convolvulaceae,dataset_processed_v3/Train/convolvulaceae/142.jpg,lisse,alterne,simple,non
165,convolvulaceae,dataset_processed_v3/Train/convolvulaceae/195.jpg,lisse,alterne,simple,non
166,convolvulaceae,dataset_processed_v3/Train/convolvulaceae/73.jpg,lisse,alterne,simple,non
167,convolvulaceae,dataset_processed_v3/Train/convolvulaceae/135.jpg,lisse,alterne,simple,non
168,convolvulaceae,dataset_processed_v3/Train/convolvulaceae/convolvulaceae085.jpg,lisse,alterne,simple,non
169,convolvulaceae,dataset_processed_v3/Train/convolvulaceae/82.jpg,lisse,alterne,simple,non
170,convolvulaceae,dataset_processed_v3/Train/convolvulaceae/93.jpg,lisse,alterne,simple,non
171,convolvulaceae,dataset_processed_v3/Train/convolvulaceae/122.jpg,lisse,alterne,simple,non
172,convolvulaceae,dataset_processed_v3/Train/convolvulaceae/41.jpg,lisse,alterne,simple,non
173,convolvulaceae,dataset_processed_v3/Train/convolvulaceae/164.jpg,lisse,alterne,simple,non
174,convolvulaceae,dataset_processed_v3/Train/convolvulaceae/105.jpg,lisse,alterne,simple,non
175,convolvulaceae,dataset_processed_v3/Train/convolvulaceae/74.jpg,lisse,alterne,simple,non
176,convolvulaceae,dataset_processed_v3/Train/convolvulaceae/20.jpg,lisse,alterne,simple,non
177,convolvulaceae,dataset_processed_v3/Train/convolvulaceae/04.jpg,lisse,alterne,simple,non
178,convolvulaceae,dataset_processed_v3/Train/convolvulaceae/130.jpg,lisse,alterne,simple,non
179,convolvulaceae,dataset_processed_v3/Train/convolvulaceae/64.jpg,lisse,alterne,simple,non
180,convolvulaceae,dataset_processed_v3/Train/convolvulaceae/convolvulaceae092.jpg,lisse,alterne,simple,non
181,convolvulaceae,dataset_processed_v3/Train/convolvulaceae/80.jpg,lisse,alterne,simple,non
182,convolvulaceae,dataset_processed_v3/Train/convolvulaceae/102.jpg,lisse,alterne,simple,non
183,convolvulaceae,dataset_processed_v3/Train/convolvulaceae/05.jpg,lisse,alterne,simple,non
184,convolvulaceae,dataset_processed_v3/Train/convolvulaceae/62.jpg,lisse,alterne,simple,non
185,convolvulaceae,dataset_processed_v3/Train/convolvulaceae/133.jpg,lisse,alterne,simple,non
186,convolvulaceae,dataset_processed_v3/Train/convolvulaceae/52.jpg,lisse,alterne,simple,non
187,convolvulaceae,dataset_processed_v3/Train/convolvulaceae/175.jpg,lisse,alterne,simple,non
188,convolvulaceae,dataset_processed_v3/Train/convolvulaceae/104.jpg,lisse,alterne,simple,non
189,convolvulaceae,dataset_processed_v3/Train/convolvulaceae/convolvulaceae096.jpg,lisse,alterne,simple,non
190,convolvulaceae,dataset_processed_v3/Train/convolvulaceae/83.jpg,lisse,alterne,simple,non
191,convolvulaceae,dataset_processed_v3/Train/convolvulaceae/33.jpg,lisse,alterne,simple,non
192,convolvulaceae,dataset_processed_v3/Train/convolvulaceae/194.jpg,lisse,alterne,simple,non
193,convolvulaceae,dataset_processed_v3/Train/convolvulaceae/171.jpg,lisse,alterne,simple,non
194,convolvulaceae,dataset_processed_v3/Train/convolvulaceae/63.jpg,lisse,alterne,simple,non
195,convolvulaceae,dataset_processed_v3/Train/convolvulaceae/113.jpg,lisse,alterne,simple,non
196,convolvulaceae,dataset_processed_v3/Train/convolvulaceae/00.jpg,lisse,alterne,simple,non
197,convolvulaceae,dataset_processed_v3/Train/convolvulaceae/convolvulaceae093.jpg,lisse,alterne,simple,non
198,convolvulaceae,dataset_processed_v3/Train/convolvulaceae/30.jpg,lisse,alterne,simple,non
199,convolvulaceae,dataset_processed_v3/Train/convolvulaceae/21.jpg,lisse,alterne,simple,non
200,convolvulaceae,dataset_processed_v3/Train/convolvulaceae/121.jpg,lisse,alterne,simple,non
201,convolvulaceae,dataset_processed_v3/Train/convolvulaceae/convolvulaceae090.jpg,lisse,alterne,simple,non
202,convolvulaceae,dataset_processed_v3/Train/convolvulaceae/convolvulaceae094.jpg,lisse,alterne,simple,non
203,convolvulaceae,dataset_processed_v3/Train/convolvulaceae/101.jpg,lisse,alterne,simple,non
204,convolvulaceae,dataset_processed_v3/Train/convolvulaceae/92.jpg,lisse,alterne,simple,non
205,convolvulaceae,dataset_processed_v3/Train/convolvulaceae/110.jpg,lisse,alterne,simple,non
206,convolvulaceae,dataset_processed_v3/Train/convolvulaceae/184.jpg,lisse,alterne,simple,non
207,convolvulaceae,dataset_processed_v3/Train/convolvulaceae/53.jpg,lisse,alterne,simple,non
208,convolvulaceae,dataset_processed_v3/Train/convolvulaceae/100.jpg,lisse,alterne,simple,non
209,convolvulaceae,dataset_processed_v3/Train/convolvulaceae/convolvulaceae088.jpg,lisse,alterne,simple,non
210,convolvulaceae,dataset_processed_v3/Train/convolvulaceae/25.jpg,lisse,alterne,simple,non
211,convolvulaceae,dataset_processed_v3/Train/convolvulaceae/45.jpg,lisse,alterne,simple,non
212,convolvulaceae,dataset_processed_v3/Train/convolvulaceae/convolvulaceae099.jpg,lisse,alterne,simple,non
213,convolvulaceae,dataset_processed_v3/Train/convolvulaceae/convolvulaceae086.jpg,lisse,alterne,simple,non
214,convolvulaceae,dataset_processed_v3/Train/convolvulaceae/181.jpg,lisse,alterne,simple,non
215,convolvulaceae,dataset_processed_v3/Train/convolvulaceae/55.jpg,lisse,alterne,simple,non
216,convolvulaceae,dataset_processed_v3/Train/convolvulaceae/convolvulaceae098.jpg,lisse,alterne,simple,non
217,convolvulaceae,dataset_processed_v3/Train/convolvulaceae/114.jpg,lisse,alterne,simple,non
218,convolvulaceae,dataset_processed_v3/Train/convolvulaceae/70.jpg,lisse,alterne,simple,non
219,convolvulaceae,dataset_processed_v3/Train/convolvulaceae/34.jpg,lisse,alterne,simple,non
220,convolvulaceae,dataset_processed_v3/Train/convolvulaceae/161.jpg,lisse,alterne,simple,non
221,convolvulaceae,dataset_processed_v3/Train/convolvulaceae/23.jpg,lisse,alterne,simple,non
222,convolvulaceae,dataset_processed_v3/Train/convolvulaceae/170.jpg,lisse,alterne,simple,non
223,convolvulaceae,dataset_processed_v3/Train/convolvulaceae/12.jpg,lisse,alterne,simple,non
224,convolvulaceae,dataset_processed_v3/Train/convolvulaceae/convolvulaceae100.jpg,lisse,alterne,simple,non
225,convolvulaceae,dataset_processed_v3/Train/convolvulaceae/150.jpg,lisse,alterne,simple,non
226,convolvulaceae,dataset_processed_v3/Train/convolvulaceae/50.jpg,lisse,alterne,simple,non
227,convolvulaceae,dataset_processed_v3/Train/convolvulaceae/143.jpg,lisse,alterne,simple,non
228,convolvulaceae,dataset_processed_v3/Train/convolvulaceae/163.jpg,lisse,alterne,simple,non
229,convolvulaceae,dataset_processed_v3/Train/convolvulaceae/85.jpg,lisse,alterne,simple,non
230,convolvulaceae,dataset_processed_v3/Train/convolvulaceae/144.jpg,lisse,alterne,simple,non
231,convolvulaceae,dataset_processed_v3/Train/convolvulaceae/154.jpg,lisse,alterne,simple,non
232,convolvulaceae,dataset_processed_v3/Train/convolvulaceae/02.jpg,lisse,alterne,simple,non
233,convolvulaceae,dataset_processed_v3/Train/convolvulaceae/172.jpg,lisse,alterne,simple,non
234,convolvulaceae,dataset_processed_v3/Train/convolvulaceae/94.jpg,lisse,alterne,simple,non
235,convolvulaceae,dataset_processed_v3/Train/convolvulaceae/43.jpg,lisse,alterne,simple,non
236,convolvulaceae,dataset_processed_v3/Train/convolvulaceae/61.jpg,lisse,alterne,simple,non
237,convolvulaceae,dataset_processed_v3/Train/convolvulaceae/72.jpg,lisse,alterne,simple,non
238,convolvulaceae,dataset_processed_v3/Train/convolvulaceae/convolvulaceae084.jpg,lisse,alterne,simple,non
239,convolvulaceae,dataset_processed_v3/Train/convolvulaceae/81.jpg,lisse,alterne,simple,non
240,convolvulaceae,dataset_processed_v3/Train/convolvulaceae/160.jpg,lisse,alterne,simple,non
241,convolvulaceae,dataset_processed_v3/Train/convolvulaceae/13.jpg,lisse,alterne,simple,non
242,convolvulaceae,dataset_processed_v3/Train/convolvulaceae/60.jpg,lisse,alterne,simple,non
243,convolvulaceae,dataset_processed_v3/Train/convolvulaceae/35.jpg,lisse,alterne,simple,non
244,convolvulaceae,dataset_processed_v3/Train/convolvulaceae/115.jpg,lisse,alterne,simple,non
245,convolvulaceae,dataset_processed_v3/Train/convolvulaceae/174.jpg,lisse,alterne,simple,non
246,convolvulaceae,dataset_processed_v3/Train/convolvulaceae/03.jpg,lisse,alterne,simple,non
247,convolvulaceae,dataset_processed_v3/Train/convolvulaceae/180.jpg,lisse,alterne,simple,non
248,convolvulaceae,dataset_processed_v3/Train/convolvulaceae/10.jpg,lisse,alterne,simple,non
249,convolvulaceae,dataset_processed_v3/Train/convolvulaceae/22.jpg,lisse,alterne,simple,non
250,convolvulaceae,dataset_processed_v3/Train/convolvulaceae/124.jpg,lisse,alterne,simple,non
251,convolvulaceae,dataset_processed_v3/Train/convolvulaceae/182.jpg,lisse,alterne,simple,non
252,convolvulaceae,dataset_processed_v3/Train/convolvulaceae/44.jpg,lisse,alterne,simple,non
253,convolvulaceae,dataset_processed_v3/Train/convolvulaceae/convolvulaceae083.jpg,lisse,alterne,simple,non
254,convolvulaceae,dataset_processed_v3/Train/convolvulaceae/123.jpg,lisse,alterne,simple,non
255,convolvulaceae,dataset_processed_v3/Train/convolvulaceae/65.jpg,lisse,alterne,simple,non
256,convolvulaceae,dataset_processed_v3/Train/convolvulaceae/193.jpg,lisse,alterne,simple,non
257,convolvulaceae,dataset_processed_v3/Train/convolvulaceae/84.jpg,lisse,alterne,simple,non
258,convolvulaceae,dataset_processed_v3/Train/convolvulaceae/140.jpg,lisse,alterne,simple,non
259,convolvulaceae,dataset_processed_v3/Train/convolvulaceae/convolvulaceae087.jpg,lisse,alterne,simple,non
260,convolvulaceae,dataset_processed_v3/Train/convolvulaceae/14.jpg,lisse,alterne,simple,non
261,convolvulaceae,dataset_processed_v3/Train/convolvulaceae/125.jpg,lisse,alterne,simple,non
262,convolvulaceae,dataset_processed_v3/Train/convolvulaceae/convolvulaceae095.jpg,lisse,alterne,simple,non
263,convolvulaceae,dataset_processed_v3/Train/convolvulaceae/112.jpg,lisse,alterne,simple,non
264,convolvulaceae,dataset_processed_v3/Train/convolvulaceae/141.jpg,lisse,alterne,simple,non
265,convolvulaceae,dataset_processed_v3/Train/convolvulaceae/convolvulaceae091.jpg,lisse,alterne,simple,non
266,convolvulaceae,dataset_processed_v3/Train/convolvulaceae/131.jpg,lisse,alterne,simple,non
267,convolvulaceae,dataset_processed_v3/Train/convolvulaceae/convolvulaceae089.jpg,lisse,alterne,simple,non
268,convolvulaceae,dataset_processed_v3/Train/convolvulaceae/145.jpg,lisse,alterne,simple,non
269,convolvulaceae,dataset_processed_v3/Train/convolvulaceae/103.jpg,lisse,alterne,simple,non
270,convolvulaceae,dataset_processed_v3/Train/convolvulaceae/54.jpg,lisse,alterne,simple,non
271,convolvulaceae,dataset_processed_v3/Train/convolvulaceae/165.jpg,lisse,alterne,simple,non
272,convolvulaceae,dataset_processed_v3/Train/convolvulaceae/132.jpg,lisse,alterne,simple,non
273,convolvulaceae,dataset_processed_v3/Train/convolvulaceae/120.jpg,lisse,alterne,simple,non
274,convolvulaceae,dataset_processed_v3/Train/convolvulaceae/75.jpg,lisse,alterne,simple,non
275,convolvulaceae,dataset_processed_v3/Train/convolvulaceae/192.jpg,lisse,alterne,simple,non
276,convolvulaceae,dataset_processed_v3/Train/convolvulaceae/153.jpg,lisse,alterne,simple,non
277,convolvulaceae,dataset_processed_v3/Train/convolvulaceae/convolvulaceae081.jpg,lisse,alterne,simple,non
278,convolvulaceae,dataset_processed_v3/Train/convolvulaceae/162.jpg,lisse,alterne,simple,non
279,convolvulaceae,dataset_processed_v3/Train/convolvulaceae/01.jpg,lisse,alterne,simple,non
280,magnolia,dataset_processed_v3/Train/magnolia/191.jpg,lisse,alterne,simple,oui
281,magnolia,dataset_processed_v3/Train/magnolia/42.jpg,lisse,alterne,simple,oui
282,magnolia,dataset_processed_v3/Train/magnolia/40.jpg,lisse,alterne,simple,oui
283,magnolia,dataset_processed_v3/Train/magnolia/190.jpg,lisse,alterne,simple,oui
284,magnolia,dataset_processed_v3/Train/magnolia/91.jpg,lisse,alterne,simple,oui
285,magnolia,dataset_processed_v3/Train/magnolia/173.jpg,lisse,alterne,simple,oui
286,magnolia,dataset_processed_v3/Train/magnolia/90.jpg,lisse,alterne,simple,oui
287,magnolia,dataset_processed_v3/Train/magnolia/134.jpg,lisse,alterne,simple,oui
288,magnolia,dataset_processed_v3/Train/magnolia/magnolia090.jpg,lisse,alterne,simple,oui
289,magnolia,dataset_processed_v3/Train/magnolia/155.jpg,lisse,alterne,simple,oui
290,magnolia,dataset_processed_v3/Train/magnolia/11.jpg,lisse,alterne,simple,oui
291,magnolia,dataset_processed_v3/Train/magnolia/185.jpg,lisse,alterne,simple,oui
292,magnolia,dataset_processed_v3/Train/magnolia/15.jpg,lisse,alterne,simple,oui
293,magnolia,dataset_processed_v3/Train/magnolia/31.jpg,lisse,alterne,simple,oui
294,magnolia,dataset_processed_v3/Train/magnolia/magnolia091.jpg,lisse,alterne,simple,oui
295,magnolia,dataset_processed_v3/Train/magnolia/71.jpg,lisse,alterne,simple,oui
296,magnolia,dataset_processed_v3/Train/magnolia/magnolia094.jpg,lisse,alterne,simple,oui
297,magnolia,dataset_processed_v3/Train/magnolia/51.jpg,lisse,alterne,simple,oui
